1. republic;1. республика
democracy;демократия
institutional government;конституционное правление
republican nation;республика
popular government;народное правительство
2. tyranny;2. тирания
despotism;деспотизм
cruel authority;жестокое правление
oppression;угнетение
absolutism;абсолютизм
dictatorship;диктатура
totalitarianism;тоталитаризм
fascism;фашизм
regime;режим
junta;хунта
3. freedom;3. свобода
political independence;политическая независимость
independence;независимость
autonomy;автономия
self-determination;самоопределение
sovereignty;суверенитет
civil liberty;гражданские свободы
emancipation;эмансипация
liberation;освобождение
liberty;свобода
4. government;4. правительство, правление
governing system;система правления
administration;администрация
authority;власть
management;управление
direction;управление
control;управление
guidance;руководство
supervision;надзор
state;государство
5. monarch;5. монарх
dictator;диктатор
absolute ruler;монарх
despot;монарх
king;король
autocrat;самодержавец
emperor;император
czar;царь
queen;королева
6. anarchy;6. анархия
disorder;беспорядок
absence of government;отсутствие правительства
lawlessness;беззаконие
chaos;хаос
7. constitution;7. конституция
governing charter;основной закон
basic laws;основной закон
fundamental principles;основные принципы
8. election;8. выборы
voting;голосование
choosing by vote;выбор голосованием
vote;голосование
balloting;голосование, баллотировка
poll;голосование, баллотировка
9. congress;9. съезд, конгресс
conference;конференция
assembly;ассамблея, собрание
representatives;представители
delegates;делегаты
forum;форум
symposium;симпозиум
seminar;семинар
10. consensus;10. консенсус
general agreement;общее согласие
majority opinion;мнение большинства
common consent;общее согласие
unanimity;единодушие
concord;согласие
11. council;11. совет
ministry;министерство
board;совет
committee;комитет
panel;комиссия
cabinet;кабинет
governing body;правление
12. declaration;12. заявление
statement;заявление
proclamation;заявление
Pronouncement;заявление
notification;объявление, заявление
Publication;публикация
announcement;объявление, сообщение
manifestation;обнародование
13. decree;13. декрет, закон
order;приказ, указ
law;закон
edict;указ
statute;устав
fiat;декрет, указ
14. discrimination;14. дискриминация
inequity;неравенство, несправедливость
bias;пристрастие
distinction;различие, различение
preference;предпочтение, преференция
15. equality;15. равенство
equal opportunity;равные возможности
justice;справедливость
fairness;справедливость
impartiality;беспристрастность
fair treatment;справедливое обращение
equity;равенство
justness;справедливость
16. federation;16. федерация
union;союз
league;лига
confederation;конфедерация
confederacy;конфедерация
alliance;союз, альянс
association;ассоциация
coalition;коалиция
17. ideology;17. идеология
set of concepts;система принципов
ideals;идеалы
doctrine;доктрина
program;программа
political philosophy;политическая философия
18. stability;18. стабильность
security;надежность, безопасность
steadiness;устойчивость
firmness;прочность
steadfastness;непоколебимость
soundness;надежность, прочность
19. instability;19. нестабильность, неустойчивость
unstableness;нестабильность
lack of stability;нестабильность
insecurity;ненадежность
fluctuation;колебания, неустойчивость
unsteadiness;неустойчивость
20. coup d'etat;20. государственный переворот, мятеж
overthrow;свержение
rebellion;мятеж
revolution;революция
revolt;мятеж
uprising;восстание, выступление
riot;мятеж
mutiny;мятеж
insurrection;восстание
uproar;волнения,беспорядок
resurgence;восстание
21. chauvinism;21. шовинизм
nationalism;национализм
blind patriotism;слепой патриотизм
ultra nationalism;ультранационализм
22. loyalty;22. верность
steadfastness;непоколебимость, стойкость
trustworthiness;надежность
reliability;надежность
staunchness;стойкость
firmness;твердость
adherence;приверженность, верность
allegiance;верность, преданность
devotion;преданность
23. nomination;23. назначение (на должность)
appointment;назначение
election;избрание
designation;назначение (на должность)
inauguration;вступление в должность
investiture;введение в должность
24. orator;24. оратор
speaker;спикер
talker;оратор, докладчик
spokesman;оратор
lecturer;лектор
preacher;проповедник
25. organization;25. организация
association;ассоциация
society;общество
union;союз
club;клуб
league;лига
group;группа
alliance;союз
party;партия
corps;корпус
corporation;корпорация
26. power;26. держава
dominant state;держава (великая)
superpower;супердержава
major nation;большое государство
27. protest;27. протест
demonstration;демонстрация
march;марш
picketing;пикетирование
strike;забастовка
opposition;оппозиция, сопротивление
dissidence;инакомыслие
resistance;сопротивление
boycott;бойкотирование
uproar;волнения, беспорядки
outbreak;возмущение
riot;Нарушение порядка
28. reaction;28. реакция
resurgent conservatism;возврат к крайнему консерватизму
right-wing comeback ;приход правых к власти
restoration;реставрация
29. settlement;29. урегулирование
arrangement;улаживание
reconciliation;примирение
accommodation;согласование, компромисс
resolution;разрешение (конфликта)
30. solidarity;30. солидарность
closeness;сплоченность
unity;сплоченность, единство
unification;объединение
consolidation;консолидация
31. violence;31. насилие
brutality;зверство
bestiality;зверство
ferocity;жестокость
ferociousness;жестокость
savagery;жестокость, свирепость
32. slaughter;32. массовое убийство, кровопролитие
bloodbath;кровопролитие
mass murder;массовые убийства
wholesale killing;массовые убийства
