1. financial management;1. финансовое управление
resources management;управление средствами
monetary resources;денежные средства
productive power;производительные силы
2. production;2. производство
making;изготовление
producing;производство
manufacture;производство
building;строительство
construction;строительство
3. investment;3. капиталовложение
investing;инвестирование
allotment of funds;распределение средств
capital spending;капиталовложение
financial transaction;финансовые операции, сделки
stock acquisition;приобретение акций
allotment;распределение средств
4. money;4. деньги
currency;валюта
cash;наличные деньги
funds;фонды
paper money;бумажные деньги
coin;монета
5. assets;5. средства (финансовые)
financial resources;финансовые средства
means;средства
wealth;богатство
property;собственность, имущество
effects;средства, имущество
belongings;имущество
capital;капитал
reserves;резервы
6. bank;6. банк
banking;банк
financial institution;финансовые организации
saving bank;Сбербанк
commercial bank;коммерческий банк
7. account;7. счет
financial record;финансовый учет
financial statement;финансовый отчет
bookkeeping;бухгалтерский учет
accounting;ведение счетов
8. profit;8. доход
gain;ДОХОД
return;доход
gross profit;валовой доход
net profit;чистый доход
income;доход
revenue;годовой доход
earnings;заработок
proceeds;выручка
financial reward;денежное вознаграждение
9. enterprise;9. предприятие
company;компания
firm;фирма
business;дело
10. payment;10. платеж
settlement;платеж, расчет
remittance;перевод денег
reimbursement;платеж, оплата
defrayal;оплата (издержек)
outlay;расходы
expenditure;выплаты, расходы
spending;расходы
11. debt;11. долг
liability;долг, обязательства
obligation;обязательства
debit;дебет
arrears;просроченные платежи
deferred payment;отсроченные платежи
12. loan;12. заем
advance;заем
giving credit;предоставление кредита
credit;кредит
accommodation;ссуда
13. price;13. цена
cost;стоимость
face value;номинальная стоимость
amount;сумма
charge;стоимость
fee;стоимость (гонорар) услуги
selling price;продажная цена
market value;рыночная стоимость
retail price;розничная цена
wholesale price;оптовая цена
14. increase;14. повышение, рост
upswing;резкое повышение, подъем
augmentation;увеличение
extension;расширение
15. crisis;15. кризис
critical state;критическое состояние
depression;депрессия
stagnation;застой
slump;кризис
decrease;снижение, спад
16. prosperity;16. процветание
success;успех
well-being;благосостояние
ease;наличие средств
bloom;процветание, расцвет
prosperousness;процветание
wealth;богатство
bounty;изобилие, щедрость
luxury;роскошь
abundance;изобилие
plenty;изобилие
welfare;благосостояние
17. property;17. имущество
belongings;имущество
effects;имущество, средства
possessions;имущество
goods;товары, имущество
holdings;вклады, акции
ftmds;средства
means;средства
capital;капитал
money;деньги
real estate;недвижимость
chattels;движимое имущество
assets;авуары, имущество
18. benefit;18. выгода
advantage;выгода
interest;интерес, выгода
use;польза
avail;польза, выгода
worth;ценность, выгодность
profit;доход
gain;доход, выгода
19. percentage;19. проценты
dividend;дивиденды
commission;комиссионные
portion;доля
allotment;доля
share;доля, акция
20. consumption;20. потребление
use;использование
using up;использование
consuming;потребление
utilization;использование
exhaustion;истощение, расход
depletion;исчерпывание, расходование
21. contribution;21. вклад, взнос
gift;подарок
bestowal;дар, награждение
grant;дар, дотация
dispensation;раздача
subsidy;субсидия
offering;подношение
22. coverage;22. покрытие (расхода/ущерба)
indemnity;возмещение
reimbursement;возмещение расходов
amends;компенсация
payment;выплата
recompense;компенсация
remuneration;компенсация, оплата
23. difficulty;23. трудность, затруднение
crisis;кризис
problem;проблема
predicament;затруднение
trouble;затруднение, заботы
critical situation;критическая ситуация
emergency;критическое положение, чрезвычайное положение
pressing necessity;острая необходимость
hardship;трудность, лишения
contingency;непредвиденное обстоятельство
pinch;затруднение
exigency;острая необходимость
24. acquisition;24. приобретение
acquirement;приобретение
procurement;приобретение
obtainment;получение
gain;получение
25. affair;25. дело
matter;дело
business;дело
transaction;сделка
action;действие, деятельность
activity;деятельность
problem;проблема
issue;проблема
event;событие
adventure;приключение
circumstance;обстоятельство
case;случай
26. arrears;26. просрочка платежа
overdue debt;неуплаченный долг
unpaid debt;неуплата
outstanding debt;долг
indebtedness;задолженность
liability;финансовые обязательства
obligation;обязательство
27. bargain;27. сделка
contract;контракт
transaction;сделка
agreement;соглашение
business affair;сделка
28. bill;28. счет
invoice;накладная, фактура
account;счет
chit;счет для оплаты, квитанция
charge;счет для оплаты
tally;счет, квитанция
receipt;квитанция
29. pay;29. зарплата
wages;зарплата
salary;оклад
earnings;заработок
income;доход
fee;гонорар
reimbursement;компенсация
payment;платеж
stipend;жалованье
allowance;содержание
30. bonus;30. премия
premium;премия
dividend;дивиденды
benefit;пособие
gratuity;пособие, чаевые
31. inheritance;31. наследство
legacy;наследство
bequest;наследство
heritage;наследство
patrimony;наследство, наследие
32. keeper;32. владелец
holder;владелец, держатель
owner;владелец, собственник
possessor;владелец
proprietor;собственник
master;хозяин
landlord;владелец дома, хозяин гостиницы
landlady;хозяйка дома
33. ordeal;33. тяжелое испытание
trial;испытание
harsh experience;трудное испытание
affliction;несчастье, бедствие
hardship;лишения, трудности
trouble;беда, хлопоты
privation;лишения, нужда
strain;нагрузка, напряжение
stress;стресс
tribulation;горе, несчастье
burden;бремя
misery;нищета, невзгоды
34. levy;34. сбор, налог
tax;налог
duty;взнос, пошлина
excise;акциз, сбор
toll;пошлина
imposition;налог
fee;плата (взнос)
35. quota;35. количество, квота
quantity;количество
measure;мера
percentage;процент
portion;доля, порция
part;часть
share;доля
36. savings;36. сбережения
financial reserve;финансовые резервы
store of money;запас денег
funds;фонд
