1. symptom;1. симптом
indication;признак, симптом
signal;сигнал
mark;признак, симптом
2. Pain;2. боль
ache;боль
soreness;болезненность
hurt;боль, рана
smarting/smart;жгучая боль
pang;внезапная острая боль
throe;сильная боль
twinge;приступ боли
3. discomfort;3. неприятное состояни
indisposition;недомогание
irritation;раздражение
uncomfortableness;неуютность
vexation;раздражение
distress;недомогание, слабость
4. pallor;4. бледность
paleness;бледность
pallidness;бледность
pastiness;бледность
wanness;болезненность, бледност
bloodlessness;бескровность, бледность
5. spasm;5. спазма
cramp;судорога
seizure;приступ, схватки
tic;тик, дерганье
convulsion;конвульсия, судороги
twitch;судорога, подергивание
6. shudder;6. дрожь
trembling;дрожь
tremor;дрожь
shiver;дрожь
quiver;дрожь
7. weakness;7. слабость
exhaustion;истощение
weariness;усталость, слабость
enervation;слабость
Prostration;слабость, бессилие
lassitude;усталость, апатия
apathy;апатия, вялость
faint;обморок
8. nausea;8. тошнота
sickness;тошнота
queasiness;тошнота
upset stomach;расстройство желудка
qualm;приступ тошноты, дурноты
9. vertigo;9. головокружение
dizziness;головокружение
swimming of the head;головокружение
giddiness;головокружение
reeling;головокружение
fainting;обморок
whirl;смятение чувств, головокружение
turn;шок, приступ
shock;шок
