1. insomnia;1. бессонница
sleeplessness;бессонница
wakefulness;бессонница
2. maniac;2. маньяк
madman;умалишенный
lunatic;сумасшедший
psycho;психически больной
insane person;душевнобольной
deranged person;помешанный
3. fit;3. приступ
attack;приступ
turn;приступ
epileptic seizure;припадок (эпилепсии)
paroxysm;приступ, припадок
4. dope;4. наркотик
drugs;наркотик
narcotics;наркотики
opiate;наркотик
5. poison;5. яд
toxin;яд, токсин
venom;яд (животного происхождения)
toxic chemical;ядовитое вещество
6. collapse;6. резкий упадок сил, обморок
breakdown;упадок сил, расстройство
faint;обморок
swoon;обморок
coma;кома
attack;приступ
7. agony;7. агония
suffering;страдание
pain;боль
torment;мучение
throes;резкая боль
anguish;мука, боль
