1. treatment;1. лечение
medical cure;лечение
remedy;средство от болезни
therapy;терапия,лечение
doctoring;лечение, врачевание
medication;лечение
application;употребление лекарства, лечение
2. medicine;2. лекарство
remedy;лечебное средство
medicament;медикамент
curative agent;лечебное средство
drug;лекарство
pill;таблетка
powder;порошок
panacea;панацея, универсальное средство
balm;бальзам
elixir;эликсир
tonic;укрепляющее средство
3. ointment;3. мазь
unguent;мазь
liniment;мазь (лечебная)
balm;бальзам
salve;целебная мазь
lotion;лосьон
4. dose;4. доза
daily dose;ежедневная доза
injection;укол
pill;таблетка
tablet;таблетка
capsule;капсула
