1. doctor;1. врач
physician;врач
medical practitioner;практикующий врач
general practitioner;лечащий врач
surgeon;хирург
dentist;зубной врач
therapeutist;терапевт
ophtalmologist;глазник
psychiatrist;психиатр
pediatrician;педиатр
gynaecologist;гинеколог
2. hospital;2. больница
medical centre;медицинский центр, больница
clinic;клиника
polyclinic;поликлиника
infirmary;лазарет
ward;больничная палата
3. nurse;3. медицинская сестра, санитарка
trained nurse;медсестра с образованием
registered nurse;медсестра
sister;старшая медсестра
district nurse;участковая сестра
male nurse;санитар
4. patient;4. пациент
case;случай, больной
sick person;больной
person under medical care;пациент
in-patient;стационарный больной, лежачий больной
ambulant patient;амбулаторный больной
